chart_name,bench_name,bench_detail,prod_id,prod_name,prod_detail,vga_vendor,vga_clock_mhz,vga_mem_gb,vga_n_gpus,vga_overclock,vga_multi,vga_emul,score
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7364","Galax GeForce GTX 980 HOF 4GB","GTX 980, 4GB GDDR5, 1304 MHz ","Galax",1304,4,1,0,0,0,15134
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7363","Zotac GeForce GTX 980 Amp! Extreme Edition 4GB","GTX 980, 4GB GDDR5, 1291 MHz ","Zotac",1291,4,1,0,0,0,14690
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7225","AMD Radeon HD 7990 Reference 2x 3GB","HD 7990 2x 4GB GDDR5, 1000 MHz","AMD",1000,4,2,0,0,0,14531
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7355","Galax GeForce GTX 980 SOC G1  4GB ","GTX 980, 4GB GDDR5, 1228 MHz ","Galax",1228,4,1,0,0,0,14425
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7344","Gigabyte GeForce GTX 980 Gaming G1  4GB ","GTX 980, 4GB GDDR5, 1228 MHz ","Gigabyte",1228,4,1,0,0,0,14280
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7354","Palit GeForce GTX 980 Super JetStream 4GB ","GTX 980, 4GB GDDR5, 1203 MHz ","Palit",1203,4,1,0,0,0,14235
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7351","Zotac GeForce GTX 980 Amp! Omega Edition 4GB ","GTX 980, 4GB GDDR5, 1203 MHz ","Zotac",1203,4,1,0,0,0,14081
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7350","MSI GeForce GTX 980 Gaming 4G 4GB","GTX 980, 4GB GDDR5, 1216 MHz ","MSI",1216,4,1,0,0,0,13927
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7398","PNY GeForce GTX 760 XLR8 Design 2GB SLI","GTX 760, 2GB GDDR5, 980 Mhz+ SLI","PNY",980,2,1,1,1,0,13811
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7349","Asus GeForce GTX 980 STRIX DCII OC 4GB ","GTX 980, 4GB GDDR5, 1178MHz ","Asus",1178,4,1,0,0,0,13706
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7265","Nvidia GeForce GTX 980 4GB Reference","GTX 980, 4GB GDDR5, 1127 MHz ","Nvidia",1127,4,1,0,0,0,13297
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7251","Nvidia GeForce GTX 690 2x 2GB Reference","GTX 690, 2x 2GB GDDR5, 915 MHz ","Nvidia",915,2,2,0,0,0,13021
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7321","Gigabyte GeForce GTX Titan Black Windforce 6GB OC","GTX Titan, 6GB GDDR5, 1056 MHz ","Gigabyte",1056,6,1,0,0,0,12808
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7368","Galax GeForce GTX 970 Hall Of Fame 4GB ","GTX 970, 4GB GDDR5, 1228 MHz ","Galax",1228,4,1,0,0,0,12569
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7328","Gigabyte GeForce GTX 780 Ti OC Windforce 3GB","GTX 780 Ti, 3GB GDDR5, 1020 MHz ","Gigabyte",1020,3,1,0,0,0,12472
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7263","Nvidia GeForce GTX Titan Black GHz Edition 6GB ","GTX Titan Black, 6GB GDDR5, 1006 MHz ","Nvidia",1006,6,1,0,0,0,12429
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7320","Gigabyte GeForce GTX Titan Black Windforce 6GB ","GTX Titan, 6GB GDDR5, 1006 MHz ","Gigabyte",1006,6,1,0,0,0,12429
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7252","Nvidia GeForce GTX Titan Black 6GB Reference","GTX Titan Black, 6GB GDDR5, 1006 MHz ","Nvidia",1006,6,1,0,0,0,12350
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7296","HIS Radeon R9 290X IceQ Water Cooled 4GB","R9 290X, 4GB GDDR5,  1100 MHz","HIS",1100,4,1,0,0,0,12295
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7345","Gigabyte GeForce GTX 970 Gaming G1 OC 4GB","GTX 970, 4GB GDDR5, 1178 MHz ","Gigabyte",1178,4,1,0,0,0,12164
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7356","Inno3D GeForce GTX 970 iChill Ultra 4GB ","GTX 970, 4GB GDDR5, 1178 MHz ","Inno3D",1178,4,1,0,0,0,12115
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7477","Asus GeForce GTX 970 Strix DCII OC 4GB ","GTX 970, 4GB GDDR5, 1114 MHz+","Asus",1114,4,1,1,0,0,12100
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7352","Palit GeForce GTX 970 JetStream 4GB","GTX 970, 4GB GDDR5, 1152 MHz ","Palit",1152,4,1,0,0,0,12097
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7294","MSI Radeon R9 290X Lightning 4GB","R9 290X, 4GB GDDR5,  1080 MHz","MSI",1080,4,1,0,0,0,12006
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7362","Zotac GeForce GTX 970 Amp! Extreme Edition 4GB","GTX 970, 4GB GDDR5, 1203 MHz ","Zotac",1203,4,1,0,0,0,11982
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7293","HIS null","R9 290X, 4GB GDDR5,  1060 MHz","HIS",1060,4,1,0,0,0,11896
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7292","PowerColor Radeon R9 290X PCS  4GB","R9 290X, 4GB GDDR5,  1050 MHz","PowerColor",1050,4,1,0,0,0,11812
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7290","Asus Radeon R9 290X DirectCU II OC 4GB","R9 290X, 4GB GDDR5,  1050 MHz","Asus",1050,4,1,0,0,0,11792
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7295","Sapphire Radeon R9 290X TriX OC 4GB","R9 290X, 4GB GDDR5,  1040 MHz","Sapphire",1040,4,1,0,0,0,11780
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7289","Gigabyte Radeon R9 290X Windforce OC 4GB","R9 290X, 4GB GDDR5,  1040 MHz","Gigabyte",1040,4,1,0,0,0,11776
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7291","MSI Radeon R9 290X Gaming OC 4GB","R9 290X, 4GB GDDR5,  1040 MHz","MSI",1040,4,1,0,0,0,11770
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7361","MSI GeForce GTX 970 Gaming 4G 4GB","GTX 970, 4GB GDDR5, 1140 MHz ","MSI",1140,4,1,0,0,0,11732
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7347","Gigabyte GeForce GTX 970 Windforce 3X 4GB","GTX 970, 4GB GDDR5, 1114 MHz ","Gigabyte",1114,4,1,0,0,0,11534
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7366","Galax Geforce GTX 970 OC (mini-ITX)","GTX 970, 4GB GDDR5, 1127 MHz ","Galax",1127,4,1,0,0,0,11499
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7388","HIS Radeon R9 270X IceQ X² Boost Clock 2GB Crossfire","R9 270X, 2GB GDDR5,  1050 MHz Crossfire","HIS",1050,2,1,0,1,0,11458
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7353","Galax GeForce GTX 970 EXOC 4GB","GTX 970, 4GB GDDR5, 1127 MHz ","Galax",1127,4,1,0,0,0,11454
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7266","Nvidia GeForce GTX 970 4GB Reference","GTX 980, 4GB GDDR5, 1050 MHz  (*emul)","Nvidia",1050,4,1,0,0,1,11421
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7476","Gigabyte Geforce GTX 970 mini OC (mini-ITX)","GTX 970, 4GB GDDR5, 1076 MHz+","Gigabyte",1076,4,1,1,0,0,11212
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7280","Gigabyte Radeon R9 290 Windforce OC 4GB","R9 290, 4GB GDDR5,  1040 MHz","Gigabyte",1040,4,1,0,0,0,11068
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7270","Sapphire Radeon R9 290 VaporX Tri-X 4GB","R9 290, 4GB GDDR5,  1030 MHz","Sapphire",1030,4,1,0,0,0,10958
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7239","Nvidia GeForce GTX 780 Ti 3GB Reference","GTX 780 Ti, 3GB GDDR5, 876 MHz ","Nvidia",876,3,1,0,0,0,10872
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7389","HIS Radeon R9 270 iCooler Boost Clock 2GB Crossfire","R9 270X, 2GB GDDR5,  925 MHz  Crossfire","HIS",925,2,1,0,1,0,10864
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7273","HIS Radeon R9 290X Fan 4GB Uber  Mode","R9 290X, 4GB GDDR5,  1000 MHz","HIS",1000,4,1,0,0,0,10851
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7200","AMD Radeon R9 290X Reference 4GB Uber  Mode","R9 290X, 4GB GDDR5,  1000 MHz","AMD",1000,4,1,0,0,0,10851
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7271","Sapphire Radeon R9 290 Tri-X 4GB","R9 290, 4GB GDDR5,  1000 MHz","Sapphire",1000,4,1,0,0,0,10827
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7326","Gigabyte GeForce GTX 780 Windforce GHz Edition 3GB","GTX 780, 3GB GDDR5, 1020 MHz ","Gigabyte",1020,3,1,0,0,0,10816
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7325","Galaxy GeForce GTX 780 Hall of Fame 3GB","GTX 780, 3GB GDDR5, 1020 MHz ","Galaxy",1020,3,1,0,0,0,10808
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7324","KFA2 GeForce GTX 780 Hall of Fame 3GB","GTX 780, 3GB GDDR5, 1020 MHz ","KFA2",1020,3,1,0,0,0,10808
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7199","AMD Radeon R9 290X Reference 4GB Quiet  Mode","R9 290X, 4GB GDDR5,  1000 MHz","AMD",1000,4,1,0,0,0,10754
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7274","HIS Radeon R9 290 Fan 4GB Uber  Mode","R9 290, 4GB GDDR5,  947 MHz","HIS",947,4,1,0,0,0,10598
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7202","AMD Radeon R9 290 Reference 4GB Uber  Mode","R9 290, 4GB GDDR5,  947 MHz","AMD",947,4,1,0,0,0,10598
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7240","Nvidia GeForce GTX Titan 6GB Reference","GTX Titan, 6GB GDDR5, 837 MHz ","Nvidia",837,6,1,0,0,0,10444
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7201","AMD Radeon R9 290 Reference 4GB Quiet  Mode","R9 290, 4GB GDDR5,  947 MHz","AMD",947,4,1,0,0,0,10427
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7211","AMD FirePro W9100 16GB","W9100, 16 GB GDDR5, 930 MHz","AMD",930,16,1,0,0,0,10166
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7478","Zotac Geforce GTX 970 (Reference Cooler)","GTX 970, 4GB GDDR5, 1050 MHz+","Zotac",1050,4,1,1,0,0,10130
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7367","Galax Geforce GTX 970 OC (modified 125W for HTPC)","GTX 970, 4GB GDDR5, 1050 MHz ","Galax",1050,4,1,0,0,0,10129
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7242","Nvidia Quadro K6000 12GB","Quadro K6000, 12GB GDDR5, 797 MHz ","Nvidia",797,12,1,0,0,0,9947
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7331","Gigabyte GeForce GTX 780 OC Windforce 3GB Rev. 02","GTX 780, 3GB GDDR5, 1006 MHz ","Gigabyte",1006,3,1,0,0,0,9856
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7329","Gigabyte GeForce GTX 780 OC Windforce 3GB Rev. 01","GTX 780, 3GB GDDR5, 1006 MHz ","Gigabyte",1006,3,1,0,0,0,9845
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7327","MSI GeForce GTX 780 Lightning OC 3GB","GTX 780, 3GB GDDR5, 980 MHz ","MSI",980,3,1,0,0,0,9810
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7330","MSI GeForce GTX 780 TwinFrozr OC 3GB","GTX 780, 3GB GDDR5, 947 MHz ","MSI",947,3,1,0,0,0,9787
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7241","Nvidia GeForce GTX 780 3GB Reference","GTX 780, 3GB GDDR5, 863 MHz ","Nvidia",863,3,1,0,0,0,9657
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7288","Sapphire Radeon R9 280X Toxic 3GB","R9 280X, 3GB GDDR5,  1150 MHz","Sapphire",1150,3,1,0,0,0,9002
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7285","CLUB3D Radeon R9 280X Royalking OC 3GB","R9 280X, 3GB GDDR5,  1100 MHz","CLUB3D",1100,3,1,0,0,0,8990
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7281","Sapphire Radeon R9 280X VaporX Tri-X 3GB","R9 280X, 3GB GDDR5,  1100 MHz","Sapphire",1100,3,1,0,0,0,8987
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7286","Gigabyte Radeon R9 280X Windforce OC 3GB","R9 280X, 3GB GDDR5,  1100 MHz","Gigabyte",1100,3,1,0,0,0,8984
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7226","AMD FirePro W8100 8GB","W8100, 8 GB GDDR5, 824 MHz","AMD",824,8,1,0,0,0,8966
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7282","Sapphire Radeon R9 280X VaporX 3GB","R9 280X, 3GB GDDR5,  1070 MHz","Sapphire",1070,3,1,0,0,0,8768
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7284","Asus Radeon R9 280X DirectCU II 3GB","R9 280X, 3GB GDDR5,  1070 MHz","Asus",1070,3,1,0,0,0,8765
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7283","MSI Radeon R9 280X Gaming OC 3GB","R9 280X, 3GB GDDR5,  1050 MHz","MSI",1050,3,1,0,0,0,8424
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7287","HIS null","R9 280X, 3GB GDDR5,  1050 MHz","HIS",1050,3,1,0,0,0,8422
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7338","MSI GeForce GTX 770 Twin Frozr Gaming 2GB ","GTX 770, 2GB GDDR5, 1137 MHz ","MSI",1137,2,1,0,0,0,8242
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7339","Gigabyte GeForce GTX 770 Windforce OC 2GB  Rev. 1.0","GTX 770, 2GB GDDR5, 1137 MHz ","Gigabyte",1137,2,1,0,0,0,8235
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7340","Gigabyte GeForce GTX 770 Windforce OC 2GB  Rev. 2.0","GTX 770, 2GB GDDR5, 1137 MHz ","Gigabyte",1137,2,1,0,0,0,8235
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7390","HIS Radeon R7 260X iCooler 2GB Crossfire","R7 260X, 2GB GDDR5,  1000 MHz Crossfire","HIS",1000,2,1,0,1,0,8165
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7297","Gigabyte Radeon R9 285 Windforce OC 2GB","R9 285, 2GB GDDR5, 973 MHz","Gigabyte",973,2,1,0,0,0,8111
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7381","Gigabyte GeForce GTX 960 Windforce OC 2GB (BIOS F1)","GTX 960, 2GB GDDR5, 1216 MHz+","Gigabyte",1216,2,1,1,0,0,8058
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7312","HIS Radeon HD 7970 IceQ Turbo Boost Clock 3GB","HD 7970, 3GB GDDR5,  1050 MHz","HIS",1050,3,1,0,0,0,8056
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7371","Gigabyte GeForce GTX 960 Gaming G1 2GB (BIOS F2)","GTX 960, 2GB GDDR5, 1241 MHz+","Gigabyte",1241,2,1,1,0,0,8044
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7215","AMD Radeon HD 7970 GHz Edition Reference 3GB","HD 7970 XT2, 3GB GDDR5,  1050 MHz","AMD",1050,3,1,0,0,0,8035
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7372","Asus GeForce GTX 960 Strix DirectCU II OC 2GB","GTX 960, 2GB GDDR5, 1253 MHz+","Asus",1253,2,1,1,0,0,8032
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7374","Palit GeForce GTX 960 SuperJetstream 2GB","GTX 960, 2GB GDDR5, 1279 MHz+","Palit",1279,2,1,1,0,0,8030
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7376","Inno3D GeForce GTX 960 iChill 2GB","GTX 960, 2GB GDDR5, 1329 MHz+","Inno3D",1329,2,1,1,0,0,8023
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7203","AMD Radeon R9 280X Reference 3GB","R9 280X, 3GB GDDR5,  1000 MHz","AMD",1000,3,1,0,0,0,8020
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7298","Asus Radeon R9 285 StrikeX OC 2GB","R9 285, 2GB GDDR5, 954 MHz","Asus",954,2,1,0,0,0,8007
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7243","Nvidia GeForce GTX 770 2GB Reference","GTX 770, 2GB GDDR5, 1046 MHz ","Nvidia",1046,2,1,0,0,0,7868
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7250","Nvidia GeForce GTX 680 2GB Reference","GTX 680, 2GB GDDR5, 1006 MHz ","Nvidia",1006,2,1,0,0,0,7868
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7380","HIS Radeon R9 285 IceQ X² OC 2GB","R9 285, 2GB GDDR5, 938 MHz","HIS",938,2,1,0,0,0,7852
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7379","HIS Radeon R9 285 Mini IceQ X² OC 2GB","R9 285, 2GB GDDR5, 938 MHz","HIS",938,2,1,0,0,0,7845
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7373","Gainward GeForce GTX 960 Phantom OC 2GB","GTX 960, 2GB GDDR5, 1279 MHz+","Gainward",1279,2,1,1,0,0,7835
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7228","AMD Radeon R9 285 Reference 2GB","R9 285, 2GB GDDR5,  913 MHz (*emul)","AMD",913,2,1,0,0,1,7815
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7382","Gigabyte GeForce GTX 960 Gaming G1 2GB ","GTX 960, 2GB GDDR5, 1241 MHz+","Gigabyte",1241,2,1,1,0,0,7807
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7370","Gigabyte GeForce GTX 960 Windforce OC 2GB","GTX 960, 2GB GDDR5, 1216 MHz+","Gigabyte",1216,2,1,1,0,0,7775
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7212","AMD FirePro W9000 6GB","W9000, 6GB GDDR5, 975 MHz","AMD",975,6,1,0,0,0,7749
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7214","AMD Radeon HD 7970 Reference 3GB","HD 7950, 3GB GDDR5, 925 MHz","AMD",925,3,1,0,0,0,7683
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7375","Galax GeForce GTX 960 EX OC 2GB","GTX 960, 2GB GDDR5, 1203 MHz+","Galax",1203,2,1,1,0,0,7650
"All 2015 VGA Charts","01 3DMark FireStrike","Standard Quality Settings, 1920 x 1080","7377","KFA2 GeForce GTX 960 EX OC 2GB","GTX 960, 2GB GDDR5, 1203 MHz+","KFA2",1203,2,1,1,0,0,7650
